time,temperature_2m (?C),relative_humidity_2m (%),apparent_temperature (?C),rain (mm),weather_code (wmo code),cloud_cover (%)
2020-07-03T00:00,25.6,96,31.3,0.8,53,45
2020-07-03T01:00,25.5,96,31.4,1.2,55,37
2020-07-03T02:00,25.3,96,30.9,1.1,55,30
2020-07-03T03:00,25.1,97,30.6,1.3,61,36
2020-07-03T04:00,25,97,30.5,0.5,53,69
2020-07-03T05:00,25,97,30.5,1.1,55,47
2020-07-03T06:00,25.2,96,30.7,1,55,71
2020-07-03T07:00,25.8,93,31.5,0.8,53,87
2020-07-03T08:00,26.6,91,31.6,0.1,51,99
2020-07-03T09:00,27.3,84,31.5,0.8,53,88
2020-07-03T10:00,27.6,83,31.9,0.2,51,98
2020-07-03T11:00,27.9,81,32,0.2,51,98
2020-07-03T12:00,28.2,82,32.7,0.2,51,100
2020-07-03T13:00,28.4,82,33.2,0.4,51,74
2020-07-03T14:00,28.7,79,33.4,0.1,51,91
2020-07-03T15:00,27,86,31.6,1.9,61,100
2020-07-03T16:00,27,86,31.8,0.4,51,63
2020-07-03T17:00,26.3,88,30.6,1.2,55,100
2020-07-03T18:00,25.9,91,30.9,0.2,51,38
2020-07-03T19:00,26.2,93,31.8,0.1,51,70
2020-07-03T20:00,25.8,94,31.2,0,1,31
2020-07-03T21:00,25.5,94,30.5,0,2,57
2020-07-03T22:00,25.3,92,30.2,0,2,67
2020-07-03T23:00,25,92,29.8,0,2,76
2020-07-04T00:00,24.7,92,29.3,0,1,38
2020-07-04T01:00,24.4,90,28.8,0,1,41
2020-07-04T02:00,24.1,91,28.3,0,1,44
2020-07-04T03:00,23.8,92,28,0,0,16
2020-07-04T04:00,23.5,93,27.8,0,0,19
2020-07-04T05:00,23.5,94,28,0,0,14
2020-07-04T06:00,23.6,93,28.2,0,0,10
2020-07-04T07:00,25,90,29.5,0,2,74
2020-07-04T08:00,26,87,30.8,0,1,40
2020-07-04T09:00,27.7,81,32.6,0,1,27
2020-07-04T10:00,29,74,33.9,0,2,53
2020-07-04T11:00,29.5,72,34,0,3,95
2020-07-04T12:00,29.7,71,34,0,3,87
2020-07-04T13:00,30.1,65,33.5,0,2,75
2020-07-04T14:00,30.4,64,33.7,0,1,44
2020-07-04T15:00,30.6,63,34,0,1,40
2020-07-04T16:00,30.6,62,34,0,2,57
2020-07-04T17:00,29.6,68,33.8,0.3,51,59
2020-07-04T18:00,28.6,78,34.1,0,1,44
2020-07-04T19:00,28.4,78,33.5,0,2,65
2020-07-04T20:00,27.6,79,32.5,0,1,45
2020-07-04T21:00,26.9,83,32.1,0,1,42
2020-07-04T22:00,26.5,84,31.5,0,1,38
2020-07-04T23:00,26,85,30.6,0,1,34
2020-07-05T00:00,25.5,86,29.8,0,1,44
2020-07-05T01:00,25.2,87,29.5,0,1,44
2020-07-05T02:00,24.9,89,29.3,0,1,40
2020-07-05T03:00,24.6,90,29.1,0,1,34
2020-07-05T04:00,24.4,91,28.9,0,1,42
2020-07-05T05:00,24.3,91,29.1,0,1,41
2020-07-05T06:00,24.5,90,29.5,0,1,39
2020-07-05T07:00,26,81,30.6,0,0,16
2020-07-05T08:00,27.7,76,32.5,0,0,14
2020-07-05T09:00,29.3,73,34.4,0,1,23
2020-07-05T10:00,30.3,70,36.4,0,0,16
2020-07-05T11:00,31,67,37.8,0.1,51,26
2020-07-05T12:00,31.5,68,38.9,0.1,51,29
2020-07-05T13:00,31.7,69,39.3,0.2,51,31
2020-07-05T14:00,31.8,70,38.9,0.2,51,59
2020-07-05T15:00,30.3,71,36.4,3.9,63,57
2020-07-05T16:00,28.8,76,34.1,2,61,53
2020-07-05T17:00,28.5,77,34.4,0.7,53,38
